City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Lianzhou,CN,2022-06-02 17:48:11,24.7811,112.3825,75.97,98,97,3.74
141,Port-Gentil,GA,2022-06-02 17:48:12,-0.7193,8.7815,76.96,88,75,10.36
142,Mira,IT,2022-06-02 17:47:56,45.4358,12.1348,80.69,57,0,6.91
143,Zeya,RU,2022-06-02 17:48:12,53.75,127.2667,48.43,95,100,4.68
144,Derzhavinsk,KZ,2022-06-02 17:48:13,51.1,66.3167,64.85,38,6,5.77
145,Mehamn,NO,2022-06-02 17:48:14,71.0357,27.8492,46.31,61,37,11.34
146,Punta Arenas,CL,2022-06-02 17:47:25,-53.15,-70.9167,41.02,81,20,14.97
147,Chuy,UY,2022-06-02 17:48:14,-33.6971,-53.4616,53.01,58,53,10.98
148,Nadym,RU,2022-06-02 17:48:15,65.5333,72.5167,30.78,83,99,24.11
149,East London,ZA,2022-06-02 17:48:16,-33.0153,27.9116,54.54,87,0,5.75
150,Yakeshi,CN,2022-06-02 17:48:16,49.2833,120.7333,48.33,82,79,8.75
151,Moron,AR,2022-06-02 17:48:16,-34.6534,-58.6198,58.01,57,8,1.54
152,Cienfuegos,CU,2022-06-02 17:48:17,22.1461,-80.4356,78.94,89,100,5.75
153,Pincher Creek,CA,2022-06-02 17:48:18,49.4833,-113.952,61.88,36,75,4.61
154,Papetoai,PF,2022-06-02 17:48:18,-17.4961,-149.8729,74.79,78,100,15.84
155,Burnie,AU,2022-06-02 17:48:19,-41.0667,145.9167,51.66,77,100,11.52
156,Port-Cartier,CA,2022-06-02 17:48:19,50.0334,-66.8654,68.11,54,84,0.83
157,Impfondo,CG,2022-06-02 17:48:20,1.6381,18.0667,72.0,96,99,3.13
158,Gavrilovka Vtoraya,RU,2022-06-02 17:48:21,52.877,42.7663,64.67,85,24,8.1
159,Xinyu,CN,2022-06-02 17:48:21,27.8043,114.9334,74.21,97,98,2.19
160,Faanui,PF,2022-06-02 17:48:21,-16.4833,-151.75,79.14,77,97,14.83
161,Grants Pass,US,2022-06-02 17:45:19,42.439,-123.3284,74.35,56,0,3.44
162,Hanno,JP,2022-06-02 17:48:22,35.8519,139.3181,71.8,81,0,5.75
163,Rochegda,RU,2022-06-02 17:48:23,62.8,43.25,67.91,60,97,4.54
164,Atar,MR,2022-06-02 17:48:23,20.5169,-13.0499,101.37,16,97,21.18
165,Wesselsbron,ZA,2022-06-02 17:48:24,-27.8549,26.3658,51.78,25,0,3.06
166,Hay River,CA,2022-06-02 17:47:49,60.8156,-115.7999,66.18,37,40,9.22
167,Bandarbeyla,SO,2022-06-02 17:48:24,9.4942,50.8122,79.43,77,47,31.52
168,Praya,CV,2022-06-02 17:48:25,14.9215,-23.5087,86.54,37,20,18.41
169,Kisangani,CD,2022-06-02 17:48:25,0.5167,25.2,72.93,84,98,2.66
170,Yellowknife,CA,2022-06-02 17:46:56,62.456,-114.3525,57.72,41,40,16.11
171,Pevek,RU,2022-06-02 17:48:26,69.7008,170.3133,32.76,97,100,8.25
172,Tommot,RU,2022-06-02 17:48:27,58.9564,126.2925,44.38,91,13,4.18
173,Lagoa,PT,2022-06-02 17:48:27,39.05,-27.9833,62.94,93,76,10.02
174,Diamantino,BR,2022-06-02 17:48:28,-14.4086,-56.4461,93.07,32,10,3.96
175,Nosy Varika,MG,2022-06-02 17:48:29,-20.5833,48.5333,67.93,88,29,8.77
176,Sisimiut,GL,2022-06-02 17:48:29,66.9395,-53.6735,44.06,49,16,11.32
