City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Am Timan,TD,11.0297,20.2827,86.25,46,95,9.37,light rain
112,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,6.91,broken clouds
113,Anchorage,US,61.2181,-149.9003,52.99,82,100,4.0,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,8.05,broken clouds
115,Sangar,RU,63.9242,127.4739,52.23,93,67,2.51,broken clouds
116,Itabirito,BR,-20.2533,-43.8014,76.42,33,0,4.68,clear sky
117,Panguna,PG,-6.3164,155.4848,66.99,95,11,1.83,few clouds
118,Bure,ET,10.7,37.0667,67.91,67,85,5.66,overcast clouds
119,Souillac,MU,-20.5167,57.5167,71.98,83,40,3.44,scattered clouds
120,Porto Murtinho,BR,-21.6989,-57.8825,76.24,72,69,9.95,broken clouds
121,Buritis,BR,-15.6178,-46.4233,83.73,27,0,4.12,clear sky
122,Fairbanks,US,64.8378,-147.7164,62.92,78,31,2.28,scattered clouds
123,Ewa Beach,US,21.3156,-158.0072,76.95,77,100,10.0,overcast clouds
124,Saint George,US,37.1041,-113.5841,90.25,14,0,13.8,clear sky
125,Hwange,ZW,-18.3693,26.5019,76.96,25,0,5.41,clear sky
126,Weihe,CN,32.9952,105.3247,62.44,90,100,1.21,overcast clouds
127,Khatanga,RU,71.9667,102.5,58.08,66,58,16.22,broken clouds
128,Lorengau,PG,-2.0226,147.2712,80.31,82,100,8.48,overcast clouds
129,Ati,TD,13.2154,18.3353,101.03,23,98,5.35,overcast clouds
130,Tomatlan,MX,19.9333,-105.25,83.62,67,96,2.37,overcast clouds
131,Trairi,BR,-3.2778,-39.2689,83.55,62,36,8.93,scattered clouds
132,San Cristobal,VE,7.7669,-72.225,70.9,86,100,5.95,overcast clouds
133,Emerald,AU,-23.5333,148.1667,55.22,51,0,10.18,clear sky
134,Mumford,GH,5.2618,-0.759,75.96,88,100,9.73,overcast clouds
135,Iqaluit,CA,63.7506,-68.5145,36.7,69,91,15.01,overcast clouds
136,Qaqortoq,GL,60.7167,-46.0333,43.09,71,99,4.09,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,81.91,77,55,13.73,light rain
138,Morehead,US,37.2711,-87.1764,69.78,94,100,9.22,moderate rain
139,Itoman,JP,26.1247,127.6694,77.02,94,75,5.75,light rain
140,Canaries,ES,28.0,-15.5,73.36,50,20,31.07,few clouds
141,Mossendjo,CG,-2.9506,12.7261,79.52,54,100,2.37,overcast clouds
142,Port Alfred,ZA,-33.5906,26.891,63.18,70,52,9.8,broken clouds
143,Ibra,OM,22.6906,58.5334,100.51,22,71,8.59,broken clouds
144,Port Hawkesbury,CA,45.6169,-61.3485,60.78,77,100,9.22,overcast clouds
145,Cap Malheureux,MU,-19.9842,57.6142,71.47,72,1,8.52,clear sky
146,Tancheng,CN,27.4375,115.4976,72.28,99,100,0.87,light rain
147,Tazmalt,DZ,36.3868,4.3989,101.82,11,1,12.73,clear sky
148,Saint-Georges,GD,12.0564,-61.7485,81.52,69,7,16.13,clear sky
149,Esperance,AU,-33.8667,121.9,67.84,81,0,24.54,clear sky
150,Port-Gentil,GA,-0.7193,8.7815,80.56,69,20,12.66,few clouds
151,Kavaratti,IN,10.5669,72.642,82.54,66,100,17.69,moderate rain
